markdown_content,index_in_notebook,author_name,notebook_title,markdown_key
"['What is in this tutorial?\n', 'in this tutorial I am trying to illustrate how ensembling techniques work manually and by python code to make a good intuition about why is it  useful and why do we use it.\n']",1,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m1
"['**Introduction to ensembling**\n', '\n', '**Types of ensembling :**\n', '\n', '**Basic Ensemble Techniques**\n', '\n', '*     Max Voting\n', '*     Averaging\n', '*     Weighted Average\n', '\n', '**Advanced Ensemble Techniques**\n', '\n', '* Stacking\n', '* Blending\n', '* Bagging\n', '* Boosting\n', '\n', '**Algorithms based on Bagging and Boosting**\n', '\n', '> * Bagging meta-estimator\n', '* Random Forest\n', '* AdaBoost\n', '* GBM\n', '* XGB\n', '* Light GBM\n', '* CatBoost\n']",2,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m2
"['What is in this tutorial?\n', 'in thi tutorial I am trying to illustrate how ensembling techniques work manually and by python code to make a good intuition about why it is useful and why we use it.\n', '\n']",3,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m3
['At first there is a rational we must stabilize that : combination between models increase accuracy and in machine learning combination is **Ensembling** \n'],4,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m4
['**Introduction to ensembling :**'],5,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m5
['**Errors**'],6,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m6
['The error emerging from any model can be broken down into three components mathematically. Following are these component :'],7,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m7
['![Imgur](https://i.imgur.com/LmeI08b.png)'],8,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m8
"['**Why is this important in the current context?**\n', 'To understand what really goes behind an ensemble model, we need to first understand what causes error in the model. We will briefly introduce you to these errors and give an insight to each ensemble learner in this regards.']",9,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m9
"['**Bias error **\n', '\n', 'is useful to quantify how much on an average are the predicted values different from the actual value. A high bias error means we have a under-performing model which keeps on missing important trends.\n', '\n', '**Variance**\n', '\n', 'on the other side quantifies how are the prediction made on same observation different from each other. A high variance model will over-fit on your training population and perform badly on any observation beyond training. Following diagram will give you more clarity (Assume that red spot is the real value and blue dots are predictions) :\n']",10,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m10
['![Imgur](https://i.imgur.com/jFfarvo.png)'],11,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m11
['model should maintain a balance between these two types of errors. This is known as the trade-off management of bias-variance errors. **Ensemble learning is one way to execute this trade off analysis.**'],12,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m12
['![Imgur](https://i.imgur.com/ZDZsSr1.png)'],13,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m13
['![Imgur](https://i.imgur.com/Xm5sKxD.png)'],14,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m14
['![Imgur](https://i.imgur.com/GEG80ni.png)'],15,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m15
"['**A group of predictors is called an ensemble**; thus, this technique is called Ensemble Learning, and an Ensemble Learning algorithm is called an** Ensemble method.**\n', '\n', ""Suppose you ask a complex question to thousands of random people, then aggregate their answers. In many cases you will find that this aggregated answer is better than an expert's answer. This is called **the wisdom of the crowd**\n"", '\n', 'Likewise, if you aggregate the predictions of a group of predictors (e.g. decision tree classifer, SVM, logistic regression), you will often get better predictions than with the best individual predictor.']",16,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m16
['**Types of ensembling :****'],17,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m17
"[' **Basic Ensemble Techniques**\n', '\n', '*     Max Voting\n', '*     Averaging\n', '*     Weighted Average\n', '\n', '**Advanced Ensemble Techniques**\n', '\n', '* Stacking\n', '* Blending\n', '* Bagging\n', '* Boosting\n', '\n', '**Algorithms based on Bagging and Boosting**\n', '\n', '> * Bagging meta-estimator\n', '* Random Forest\n', '* AdaBoost\n', '* GBM\n', '* XGB\n', '* Light GBM\n', '* CatBoost\n', '\n']",18,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m18
['lets talk first about Max voting'],19,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m19
"['**Max Voting\n', '**\n']",20,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m20
"['The max voting method is generally used for classification problems. In this technique, multiple models are used to make predictions for each data point. The predictions by each model are considered as a ‘vote’. The predictions which we get from the majority of the models are used as the final prediction.\n', '\n', 'For example, when you asked 5 of your colleagues to rate your movie (out of 5); we’ll assume three of them rated it as 4 while two of them gave it a 5. Since the majority gave a rating of 4, the final rating will be taken as 4. You can consider this as taking the mode of all the predictions.\n', '\n', 'The result of max voting would be something like this:\n', '\n', 'Colleague 1-5\n', '\n', 'Colleague 2-4\n', '\n', 'Colleague 3-5\n', '\n', 'Colleague 4-4\n', '\n', 'Colleague 5-4\n', '\n', 'Finalrating-4']",21,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m21
['**Code in python**'],22,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m22
"['there are 2 methods :\n', '\n', '1-Mode\n', '\n', '2-Voting classifier']",23,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m23
"['**Majority Voting / Hard Voting\n', '**\n']",24,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m24
"['**Hard voting **\n', '\n', 'is the simplest case of majority voting. Here, we predict the class label y^ via majority (plurality) voting of each classifier\n', '\n', 'y^=mode{C1(x),C2(x),...,Cm(x)}\n', '\n', 'Assuming that we combine three classifiers that classify a training sample as follows:\n', '\n', 'classifier 1 -> class 0 classifier 2 -> class 0 classifier 3 -> class 1\n', '\n', 'y^=mode{0,0,1}=0\n', '\n', 'Via majority vote, we would we would classify the sample as ""class 0.""']",25,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m25
"['**Soft Voting\n', '**\n']",26,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m26
"['If all classifiers are able to estimate class probabilities (i.e. they have a predict_proba() method), then you can tell Scikit-Learn to predict the class with the highest class probability, averaged over all the individual classifiers.\n', '\n', 'This is called **soft voting** and it often achieves higher performance than hard voting because *it gives more weight to highly confident votes*.\n', '\n', ""To perform soft voting, all you need to do is **replace** voting='hard' with voting='soft' **and ensure that all classifiers can estimate class probabilities.\n"", '\n', ""**The SVC class can't estimate class probabilities by default**, so you'll need to set its probability hyperparameter to **True**, as this will make the SVC class use cross-validation to estimate class probabilities (which slows training down), and it will add a predict_proba() method.\n"", '\n', '**In soft voting**, we predict the class labels based on the predicted probabilities p for classifier -- this approach is only recommended if the classifiers are **well-calibrated**.\n', '\n', '*y^=argmaxi∑j=1mwjpij,* where **wj** is the weight that can be assigned to the **jth** classifier.\n', '\n', 'Assuming the example in the previous section was a *binary classification* task with class labels i∈{0,1}, our ensemble could make the following prediction:\n', '\n', 'C1(x)→[0.9,0.1]\n', '\n', 'C2(x)→[0.8,0.2]\n', '\n', 'C3(x)→[0.4,0.6]\n', '\n', 'Using uniform weights, we compute the average probabilities:\n', '\n', 'p(i0∣x)=0.9+0.8+0.43=0.7p(i1∣x)=0.1+0.2+0.63=0.3\n', '\n', 'y^=argmaxi[p(i0∣x),p(i1∣x)]=0\n', '\n', 'However, assigning the weights {0.1, 0.1, 0.8} would yield a prediction y^=1:\n', '\n', 'p(i0∣x)=0.1×0.9+0.1×0.8+0.8×0.4=0.49p(i1∣x)=0.1×0.1+0.2×0.1+0.8×0.6=0.51\n', '\n', 'y^=argmaxi[p(i0∣x),p(i1∣x)]=1']",27,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m27
"['**Averaging**\n', '\n', 'Similar to the max voting technique, multiple predictions are made for each data point in averaging. In this method, we take an **average** of predictions from all the models and use it to make the final prediction.Averaging can be used for making predictions in regression problems or while calculating probabilities for classification problems.For example, in the below case, the averaging method would take the average of all the values.\n', '\n', '*i.e. (5+4+5+4+4)/5 = 4.4*']",28,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m28
['**Code in python**\n'],29,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m29
"['**Weighted Average\n', '**']",30,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m30
"['**This is an extension of the averaging method.** All models are assigned different weights defining the importance of each model for prediction. For instance, if two of your colleagues are critics, while others have no prior experience in this field, then the answers by these two friends are given more importance as compared to the other people.\n', '\n', 'The result is calculated as\n', '\n', '*[(50.23) + (40.23) + (50.18) + (40.18) + (4*0.18)] = 4.41.*']",31,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m31
['![Imgur](https://i.imgur.com/J9drqs1.png)'],32,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m32
['**Code in python**'],33,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m33
['**Advanced Ensemble techniques**\n'],34,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m34
['**Bagging**'],35,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m35
"['**Bagging** is very common in competitions. I don’t think I have ever seen anybody win without using it. But, in order for this to work, your data must have *variance*, otherwise you’re just adding levels after levels of additional iterations with **little benefit** to your score and a big headache for those maintaining your modeling pipeline in production. Even when it does improve things, you have to asked yourself if its worth all that extra work…']",36,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m36
"['In simple terms, **bagging irons out variance from a data set** . If, after splitting your data into multiple chunks and training them, you find that your predictions are *different*, then your data has *variance*. Bagging can turn a bad thing into a competitive advantage. For more theory behind the magic, check out *Bootstrap Aggregating on Wikipedia.* Bagging was invented by *Leo Breiman* at the University of California. He is also one of the grandfathers of Boosting and Random Forests.']",37,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m37
['**Stability and Accuracy**\n'],38,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m38
"['By saving each prediction set and averaging them together, you not only lower variance without affecting bias, but your accuracy may be **improved**! In essence, you are creating many slightly different models and ensembling them together; **this avoids over-fitting**, **stabilizes your predictions and increases your accuracy**. Mind you, this assumes your data has variance, if it doesn’t,**bagging won’t help.**']",39,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m39
"['Bagging is based on the *statistical method of bootstrapping*, Bagging actually refers to (Bootstrap Aggregators). Most any paper or post that references using bagging algorithms will also reference Leo Breiman who wrote a paper in 1996 called “*Bagging Predictors*”.']",40,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m40
"['1-we make subsets with replacement: that means every item may appears in different subsets.\n', '\n', '2-apply model for every subset of the sample.\n', '\n', '3-The models run in parallel and are independent of each other.\n', '\n', '4-predict x-text by using each model\n', '\n', '5-then aggregate their predictions (either by voting or by averaging) to form a final prediction.']",41,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m41
['![Imgur](https://i.imgur.com/eu95V9N.png)'],42,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m42
['**Bagging algorithms:**\n'],43,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m43
"['\n', '* Bagging meta-estimator\n', '* Random forest']",44,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m44
['**Bagging meta-estimator**'],45,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m45
"['**Bagging meta-estimator** is an ensembling algorithm that can be used for **both** classification (BaggingClassifier) and regression (BaggingRegressor) problems. It follows the typical bagging technique to make predictions. Following are the steps for the bagging meta-estimator algorithm:\n', '\n', '1-Random subsets are created from the original dataset (Bootstrapping).\n', '\n', '2-The subset of the dataset includes all features.\n', '\n', '3-A user-specified base estimator is fitted on each of these smaller sets.\n', '\n', '4-Predictions from each model are combined to get the final result.']",46,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m46
['**Code in python**'],47,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m47
"['where :\n', '\n', '**base_estimator:**\n', 'It defines the base estimator to fit on random subsets of the dataset. When nothing is specified, the base estimator is a decision tree.\n', '\n', '**n_estimators:**\n', 'It is the number of base estimators to be created. The number of estimators should be carefully tuned as a large number would take a very long time to run, while a very small number might not provide the best results.\n', '\n', '**max_samples:**\n', 'This parameter controls the size of the subsets. It is the maximum number of samples to train each base estimator.\n', '\n', '**max_features:**\n', 'Controls the number of features to draw from the whole dataset. It defines the maximum number of features required to train each base estimator.\n', '\n', '**n_jobs:**\n', 'The number of jobs to run in parallel. Set this value equal to the cores in your system. If -1, the number of jobs is set to the number of cores.\n', '\n', '**random_state:**\n', 'It specifies the method of random split. When random state value is same for two models, the random selection is same for both models. This parameter is useful when you want to compare different models.']",48,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m48
['**Random Forest**\n'],49,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m49
"['**Random Forest** is another ensemble machine learning algorithm that follows the bagging technique. It is an extension of the bagging estimator algorithm. The base estimators in random forest are decision trees. Unlike bagging meta estimator, random forest **randomly** selects a set of features which are used to decide the best split at each node of the decision tree.']",50,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m50
"['step-by-step, this is what a random forest model does:\n', '\n', '1-Random subsets are created from the original dataset (bootstrapping).\n', '\n', '2-At each node in the decision tree, only a random set of features are considered to decide the best split.\n', '\n', '3-A decision tree model is fitted on each of the subsets. The final prediction is calculated by averaging the predictions from all decision trees.\n', '\n', '**Note:** The decision trees in random forest can be built on a subset of data and features. Particularly, the sklearn model of random forest uses all features for decision tree and a subset of features are randomly selected for splitting at each node.\n', '\n', '**To sum up, Random forest randomly selects data points and features, and builds multiple trees (Forest) .**']",51,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m51
['**Code in python**'],52,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m52
"['You can see feature importance by using **model.featureimportances** in random forest.\n', '\n']",53,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m53
['**Sample code for regression problem:**\n'],54,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m54
"['Parameters :\n', '\n', '**n_estimators:**\n', 'It defines the number of decision trees to be created in a random forest. Generally, a higher number makes the predictions stronger and more stable, but a very large number can result in higher training time.\n', '\n', '**criterion:**\n', 'It defines the function that is to be used for splitting. The function measures the quality of a split for each feature and chooses the best split.\n', '\n', '**max_features :**\n', 'It defines the maximum number of features allowed for the split in each decision tree. Increasing max features usually improve performance but a very high number can decrease the diversity of each tree.\n', '\n', '**max_depth:**\n', 'Random forest has multiple decision trees. This parameter defines the maximum depth of the trees. min_samples_split: Used to define the minimum number of samples required in a leaf node before a split is attempted. If the number of samples is less than the required number, the node is not split.\n', '\n', '**min_samples_leaf:**\n', 'This defines the minimum number of samples required to be at a leaf node. Smaller leaf size makes the model more prone to capturing noise in train data.\n', '\n', '**max_leaf_nodes:**\n', 'This parameter specifies the maximum number of leaf nodes for each tree. The tree stops splitting when the number of leaf nodes becomes equal to the max leaf node.\n', '\n', '**n_jobs:**\n', 'This indicates the number of jobs to run in parallel. S']",55,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m55
['**Boosting**\n'],56,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m56
"['The term ‘Boosting’ refers to a family of algorithms which **converts weak learner to strong learners**. Boosting is an ensemble method for improving the model predictions of any given learning algorithm. The idea of boosting **is to train weak learners sequentially, each trying to correct its predecessor**.\n', '\n', 'Boosting is all about “*teamwork*”. Each model that runs, dictates what features the next model will focus on.']",57,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m57
['**AdaBoost**\n'],58,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m58
"['**Adaptive boosting or AdaBoost** is one of the simplest boosting algorithms. Usually, decision trees are used for modelling. Multiple sequential models are created, each correcting the errors from the last model. AdaBoost assigns weights to the observations which are incorrectly predicted and the subsequent model works to predict these values correctly.\n', '\n', '**steps:**\n', '\n', '1-all observations in the dataset are given equal weights.\n', '\n', '2-A model is built on a subset of data.\n', '\n', '3-Using this model, predictions are made on the whole dataset.\n', '\n', '4-Errors are calculated by comparing the predictions and actual values.\n', '\n', '5-While creating the next model, higher weights are given to the data points which were predicted incorrectly.\n', '\n', '6-Weights can be determined using the error value. For instance, higher the error more is the weight assigned to the observation.\n', '\n', '7-This process is repeated until the error function does not change, or the maximum limit of the number of estimators is reached.']",59,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m59
['**Code in python**'],60,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m60
"['**Parameters**\n', '\n', '**base_estimators:**\n', 'It helps to specify the type of base estimator, that is, the machine learning algorithm to be used as base learner.\n', '\n', '**n_estimators:**\n', 'It defines the number of base estimators.\n', 'The default value is 10, but you should keep a higher value to get better performance.\n', '\n', '**learning_rate:**\n', 'This parameter controls the contribution of the estimators in the final combination.\n', 'There is a trade-off between learning_rate and n_estimators.\n', '\n', '**max_depth:**\n', 'Defines the maximum depth of the individual estimator.\n', 'Tune this parameter for best performance.\n', '\n', '**n_jobs:**\n', 'Specifies the number of processors it is allowed to use.\n', 'Set value to -1 for maximum processors allowed.\n', '\n', '**random_state :**\n', 'An integer value to specify the random data split.\n', 'A definite value of random_state will always produce same results if given with same parameters and training data.']",61,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m61
"['**stacking\n', '**']",62,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m62
