,markdown_content,preprocessed_markdown
14,"['### Linear correlations\n', '\n', ""I have already seen some correlation heatmaps in public kernels and it seems as if there is almost no correlation between features. Let's check this out by computing all correlation values and plotting the overall distribution:""]",linear correl alreadi seen correl heatmap public kernel seem almost correl featur let check comput correl valu plot overal distribut
15,['Woooow! :-O All features seem to have no linear correlation!!! Neither in train nor in test. Very strange. We know that they are anonymized and perhaps they are decorrelated by some transformation as well. '],woooow featur seem linear correl neither train test strang know anonym perhap decorrel transform well
16,"['### Random Forest Top Features\n', '\n', ""To start easy, let's use a random forest to select top 10 features. They can serve as a starting point to discover their nature and for trying to understand the data. In addition they may yield some ideas on how to generate new features. I am going to use stratified KFold as a cross validation strategy. It's somehow arbitrary to use KFold as we don't know if we have time series data given, but it may serve as a good starting point. \n"", '\n', ""To start simple I like to use a random forest that helps us to select important features. As there are no linear correlations it's a good idea to start with a nonlinear model that allows us to discover features, their importances as well as interactions. Let's start! :-)""]",random forest top featur start easi let use random forest select top 10 featur serv start point discov natur tri understand data addit may yield idea gener new featur go use stratifi kfold cross valid strategi somehow arbitrari use kfold know time seri data given may serv good start point start simpl like use random forest help u select import featur linear correl good idea start nonlinear model allow u discov featur import well interact let start
17,['You can see that the score is not as good as some other scores of public kernels but nontheless my attempt is to understand the data by improving this score. We can use more powerful models later on.'],see score good score public kernel nontheless attempt understand data improv score use power model later
18,"[""Let's take a look at n_top features of your choice:""]",let take look n top featur choic
19,"['Ok, that\'s enough to start with the ""data-understanding-journey"".']",ok enough start data understand journey
20,"['### Exploring top features\n', '\n', 'First of all: How do the distributions of the variables look like with respect to the targets in train? Can we observe discrepancies between train and test features for selected top features?']",explor top featur first distribut variabl look like respect target train observ discrep train test featur select top featur
21,"['### Take Away\n', '\n', '* Interestingly there are some peeks inside the distributions, especially for variables 81, 12 and 53. Why do these data points accumulate on these values?\n', '* We can observe that the accumulations are less dense in the test data. \n', '* Variable 174 seem to miss the bulb on the right hand side of the distribution in the test data. ']",take away interestingli peek insid distribut especi variabl 81 12 53 data point accumul valu observ accumul le den test data variabl 174 seem miss bulb right hand side distribut test data
22,['### How do the scatter plots look like?'],scatter plot look like
23,['Crazy! Can you see the sharp limits of several variables where the samples with target 1 suddenly accumulate and seldomly pass over. Look at var 81 and 12 for example. You can see that there are limits close to 10 (var 81) and 13.5 (var 12). This finding could be a nice entry point for further feature engineering.'],crazi see sharp limit sever variabl sampl target 1 suddenli accumul seldomli pas look var 81 12 exampl see limit close 10 var 81 13 5 var 12 find could nice entri point featur engin
24,"['## Baseline submissions \n', '\n', '### What score does the forest yield on public LB?']",baselin submiss score forest yield public lb
25,['Yields 0.662 on public LB.'],yield 0 662 public lb
26,"['## Feature engineering \n', '\n', ""Let's do some basic feature engineering. Perhaps it helps to improve:""]",featur engin let basic featur engin perhap help improv
27,['### Rounding & quantile based binning'],round quantil base bin
28,['### New feature importances'],new featur import
29,"['## Gaussian Mixture Clustering  <a class=""anchor"" id=""clustering""></a>\n', '\n', ""The majority of the data looks like a big gaussian distribution. Besides that there seems to be at least one or two more gaussians that could explain the second and third mode that we can find for important features. Let's motivate this even further by looking at scatter and kde-plots of some top-features:""]",gaussian mixtur cluster class anchor id cluster major data look like big gaussian distribut besid seem least one two gaussian could explain second third mode find import featur let motiv even look scatter kde plot top featur
30,"['* At least one big gaussians with one or two small, very thin but long gaussians.\n', ""* It's very interesting that we can still find outliers beside sharp lines. \n"", '\n', ""Let's assume now that the data was generated using a mixture of gaussians and let's try to cluster them. Perhaps we can see that some clusters occupy more hot targets than others.""]",least one big gaussian one two small thin long gaussian interest still find outlier besid sharp line let assum data gener use mixtur gaussian let tri cluster perhap see cluster occupi hot target other
31,"['### Take-Away\n', '\n', ""* By fitting the gaussian mixture model we are maximizing the log likelihood. The higher, the better the gaussians suite to our data. As it's difficult to choose the right number of components (gaussians) I decided to use a stratified k fold of the train data. This way we can fit gaussians to a train subset, and test how big the log likelihood is on the test subset. By doing so three times for each selected component, we gain some more information about the stability of our solution. **We can see that 3 gaussians seem to be sufficient as the log likelihood values decrease with more components**. \n"", '* This need not be true as the **solution depends on the initialization of the gaussians (the seeds I used) and with more data, the result may be different**. \n', '* But we can say: There are **at least 3 gaussians**. This is what we have already found by visual exploration of the data. \n', ""* The individual score per data spot can be understood as a measure of density. If it's low, the data spot lives in a region with other data points far away. If it's high, it should have a lot of neighbors. Consequently the individual logL-score can tell us something about outliers in the data.""]",take away fit gaussian mixtur model maxim log likelihood higher better gaussian suit data difficult choos right number compon gaussian decid use stratifi k fold train data way fit gaussian train subset test big log likelihood test subset three time select compon gain inform stabil solut see 3 gaussian seem suffici log likelihood valu decreas compon need true solut depend initi gaussian seed use data result may differ say least 3 gaussian alreadi found visual explor data individu score per data spot understood measur densiti low data spot live region data point far away high lot neighbor consequ individu logl score tell u someth outlier data
32,"[""* As we have much more cold-targets (zero) that hot (ones), I'm not surprised that hot targets occupy only a small part of the data per cluster. Nonetheless we can see that cluster 1 has significantly more hot targets than the others.\n"", '* The second plot shows that most hot targets are located in cluster 1 followed by cluster 2. This confirms our assumption that the big gaussian in the middle (cluster 0) has the smallest amount of hot targets and that the small, thin side distributions are more likely to have hot targets. ']",much cold target zero hot one surpris hot target occupi small part data per cluster nonetheless see cluster 1 significantli hot target other second plot show hot target locat cluster 1 follow cluster 2 confirm assumpt big gaussian middl cluster 0 smallest amount hot target small thin side distribut like hot target
33,['Only some features are important to separate the structure of the data. '],featur import separ structur data
34,['Good luck for the last days! :-)'],good luck last day
35,['![Imgur](https://i.imgur.com/L2Jaqm8.png)'],imgur http imgur com l2jaqm8 png
36,"['What is in this tutorial?\n', 'in this tutorial I am trying to illustrate how ensembling techniques work manually and by python code to make a good intuition about why is it  useful and why do we use it.\n']",tutori tutori tri illustr ensembl techniqu work manual python code make good intuit use use
37,"['**Introduction to ensembling**\n', '\n', '**Types of ensembling :**\n', '\n', '**Basic Ensemble Techniques**\n', '\n', '*     Max Voting\n', '*     Averaging\n', '*     Weighted Average\n', '\n', '**Advanced Ensemble Techniques**\n', '\n', '* Stacking\n', '* Blending\n', '* Bagging\n', '* Boosting\n', '\n', '**Algorithms based on Bagging and Boosting**\n', '\n', '> * Bagging meta-estimator\n', '* Random Forest\n', '* AdaBoost\n', '* GBM\n', '* XGB\n', '* Light GBM\n', '* CatBoost\n']",introduct ensembl type ensembl basic ensembl techniqu max vote averag weight averag advanc ensembl techniqu stack blend bag boost algorithm base bag boost bag meta estim random forest adaboost gbm xgb light gbm catboost
38,"['What is in this tutorial?\n', 'in thi tutorial I am trying to illustrate how ensembling techniques work manually and by python code to make a good intuition about why it is useful and why we use it.\n', '\n']",tutori thi tutori tri illustr ensembl techniqu work manual python code make good intuit use use
39,['At first there is a rational we must stabilize that : combination between models increase accuracy and in machine learning combination is **Ensembling** \n'],first ration must stabil combin model increas accuraci machin learn combin ensembl
40,['**Introduction to ensembling :**'],introduct ensembl
41,['**Errors**'],error
42,['The error emerging from any model can be broken down into three components mathematically. Following are these component :'],error emerg model broken three compon mathemat follow compon
43,['![Imgur](https://i.imgur.com/LmeI08b.png)'],imgur http imgur com lmei08b png
44,"['**Why is this important in the current context?**\n', 'To understand what really goes behind an ensemble model, we need to first understand what causes error in the model. We will briefly introduce you to these errors and give an insight to each ensemble learner in this regards.']",import current context understand realli goe behind ensembl model need first understand caus error model briefli introduc error give insight ensembl learner regard
45,"['**Bias error **\n', '\n', 'is useful to quantify how much on an average are the predicted values different from the actual value. A high bias error means we have a under-performing model which keeps on missing important trends.\n', '\n', '**Variance**\n', '\n', 'on the other side quantifies how are the prediction made on same observation different from each other. A high variance model will over-fit on your training population and perform badly on any observation beyond training. Following diagram will give you more clarity (Assume that red spot is the real value and blue dots are predictions) :\n']",bia error use quantifi much averag predict valu differ actual valu high bia error mean perform model keep miss import trend varianc side quantifi predict made observ differ high varianc model fit train popul perform badli observ beyond train follow diagram give clariti assum red spot real valu blue dot predict
46,['![Imgur](https://i.imgur.com/jFfarvo.png)'],imgur http imgur com jffarvo png
47,['model should maintain a balance between these two types of errors. This is known as the trade-off management of bias-variance errors. **Ensemble learning is one way to execute this trade off analysis.**'],model maintain balanc two type error known trade manag bia varianc error ensembl learn one way execut trade analysi
48,['![Imgur](https://i.imgur.com/ZDZsSr1.png)'],imgur http imgur com zdzssr1 png
49,['![Imgur](https://i.imgur.com/Xm5sKxD.png)'],imgur http imgur com xm5skxd png
50,['![Imgur](https://i.imgur.com/GEG80ni.png)'],imgur http imgur com geg80ni png
51,"['**A group of predictors is called an ensemble**; thus, this technique is called Ensemble Learning, and an Ensemble Learning algorithm is called an** Ensemble method.**\n', '\n', ""Suppose you ask a complex question to thousands of random people, then aggregate their answers. In many cases you will find that this aggregated answer is better than an expert's answer. This is called **the wisdom of the crowd**\n"", '\n', 'Likewise, if you aggregate the predictions of a group of predictors (e.g. decision tree classifer, SVM, logistic regression), you will often get better predictions than with the best individual predictor.']",group predictor call ensembl thu techniqu call ensembl learn ensembl learn algorithm call ensembl method suppos ask complex question thousand random peopl aggreg answer mani case find aggreg answer better expert answer call wisdom crowd likewis aggreg predict group predictor e g decis tree classif svm logist regress often get better predict best individu predictor
52,['**Types of ensembling :****'],type ensembl
53,"[' **Basic Ensemble Techniques**\n', '\n', '*     Max Voting\n', '*     Averaging\n', '*     Weighted Average\n', '\n', '**Advanced Ensemble Techniques**\n', '\n', '* Stacking\n', '* Blending\n', '* Bagging\n', '* Boosting\n', '\n', '**Algorithms based on Bagging and Boosting**\n', '\n', '> * Bagging meta-estimator\n', '* Random Forest\n', '* AdaBoost\n', '* GBM\n', '* XGB\n', '* Light GBM\n', '* CatBoost\n', '\n']",basic ensembl techniqu max vote averag weight averag advanc ensembl techniqu stack blend bag boost algorithm base bag boost bag meta estim random forest adaboost gbm xgb light gbm catboost
54,['lets talk first about Max voting'],let talk first max vote
55,"['**Max Voting\n', '**\n']",max vote
56,"['The max voting method is generally used for classification problems. In this technique, multiple models are used to make predictions for each data point. The predictions by each model are considered as a ‘vote’. The predictions which we get from the majority of the models are used as the final prediction.\n', '\n', 'For example, when you asked 5 of your colleagues to rate your movie (out of 5); we’ll assume three of them rated it as 4 while two of them gave it a 5. Since the majority gave a rating of 4, the final rating will be taken as 4. You can consider this as taking the mode of all the predictions.\n', '\n', 'The result of max voting would be something like this:\n', '\n', 'Colleague 1-5\n', '\n', 'Colleague 2-4\n', '\n', 'Colleague 3-5\n', '\n', 'Colleague 4-4\n', '\n', 'Colleague 5-4\n', '\n', 'Finalrating-4']",max vote method gener use classif problem techniqu multipl model use make predict data point predict model consid vote predict get major model use final predict exampl ask 5 colleagu rate movi 5 well assum three rate 4 two gave 5 sinc major gave rate 4 final rate taken 4 consid take mode predict result max vote would someth like colleagu 1 5 colleagu 2 4 colleagu 3 5 colleagu 4 4 colleagu 5 4 finalr 4
57,['**Code in python**'],code python
58,"['there are 2 methods :\n', '\n', '1-Mode\n', '\n', '2-Voting classifier']",2 method 1 mode 2 vote classifi
59,"['**Majority Voting / Hard Voting\n', '**\n']",major vote hard vote
60,"['**Hard voting **\n', '\n', 'is the simplest case of majority voting. Here, we predict the class label y^ via majority (plurality) voting of each classifier\n', '\n', 'y^=mode{C1(x),C2(x),...,Cm(x)}\n', '\n', 'Assuming that we combine three classifiers that classify a training sample as follows:\n', '\n', 'classifier 1 -> class 0 classifier 2 -> class 0 classifier 3 -> class 1\n', '\n', 'y^=mode{0,0,1}=0\n', '\n', 'Via majority vote, we would we would classify the sample as ""class 0.""']",hard vote simplest case major vote predict class label via major plural vote classifi mode c1 x c2 x cm x assum combin three classifi classifi train sampl follow classifi 1 class 0 classifi 2 class 0 classifi 3 class 1 mode 0 0 1 0 via major vote would would classifi sampl class 0
61,"['**Soft Voting\n', '**\n']",soft vote
62,"['If all classifiers are able to estimate class probabilities (i.e. they have a predict_proba() method), then you can tell Scikit-Learn to predict the class with the highest class probability, averaged over all the individual classifiers.\n', '\n', 'This is called **soft voting** and it often achieves higher performance than hard voting because *it gives more weight to highly confident votes*.\n', '\n', ""To perform soft voting, all you need to do is **replace** voting='hard' with voting='soft' **and ensure that all classifiers can estimate class probabilities.\n"", '\n', ""**The SVC class can't estimate class probabilities by default**, so you'll need to set its probability hyperparameter to **True**, as this will make the SVC class use cross-validation to estimate class probabilities (which slows training down), and it will add a predict_proba() method.\n"", '\n', '**In soft voting**, we predict the class labels based on the predicted probabilities p for classifier -- this approach is only recommended if the classifiers are **well-calibrated**.\n', '\n', '*y^=argmaxi∑j=1mwjpij,* where **wj** is the weight that can be assigned to the **jth** classifier.\n', '\n', 'Assuming the example in the previous section was a *binary classification* task with class labels i∈{0,1}, our ensemble could make the following prediction:\n', '\n', 'C1(x)→[0.9,0.1]\n', '\n', 'C2(x)→[0.8,0.2]\n', '\n', 'C3(x)→[0.4,0.6]\n', '\n', 'Using uniform weights, we compute the average probabilities:\n', '\n', 'p(i0∣x)=0.9+0.8+0.43=0.7p(i1∣x)=0.1+0.2+0.63=0.3\n', '\n', 'y^=argmaxi[p(i0∣x),p(i1∣x)]=0\n', '\n', 'However, assigning the weights {0.1, 0.1, 0.8} would yield a prediction y^=1:\n', '\n', 'p(i0∣x)=0.1×0.9+0.1×0.8+0.8×0.4=0.49p(i1∣x)=0.1×0.1+0.2×0.1+0.8×0.6=0.51\n', '\n', 'y^=argmaxi[p(i0∣x),p(i1∣x)]=1']",classifi abl estim class probabl e predict proba method tell scikit learn predict class highest class probabl averag individu classifi call soft vote often achiev higher perform hard vote give weight highli confid vote perform soft vote need replac vote hard vote soft ensur classifi estim class probabl svc class estim class probabl default need set probabl hyperparamet true make svc class use cross valid estim class probabl slow train add predict proba method soft vote predict class label base predict probabl p classifi approach recommend classifi well calibr argmaxij 1mwjpij wj weight assign jth classifi assum exampl previou section binari classif task class label 0 1 ensembl could make follow predict c1 x 0 9 0 1 c2 x 0 8 0 2 c3 x 0 4 0 6 use uniform weight comput averag probabl p i0x 0 9 0 8 0 43 0 7p i1x 0 1 0 2 0 63 0 3 argmaxi p i0x p i1x 0 howev assign weight 0 1 0 1 0 8 would yield predict 1 p i0x 0 10 9 0 10 8 0 80 4 0 49p i1x 0 10 1 0 20 1 0 80 6 0 51 argmaxi p i0x p i1x 1
63,"['**Averaging**\n', '\n', 'Similar to the max voting technique, multiple predictions are made for each data point in averaging. In this method, we take an **average** of predictions from all the models and use it to make the final prediction.Averaging can be used for making predictions in regression problems or while calculating probabilities for classification problems.For example, in the below case, the averaging method would take the average of all the values.\n', '\n', '*i.e. (5+4+5+4+4)/5 = 4.4*']",averag similar max vote techniqu multipl predict made data point averag method take averag predict model use make final predict averag use make predict regress problem calcul probabl classif problem exampl case averag method would take averag valu e 5 4 5 4 4 5 4 4
64,['**Code in python**\n'],code python
65,"['**Weighted Average\n', '**']",weight averag
66,"['**This is an extension of the averaging method.** All models are assigned different weights defining the importance of each model for prediction. For instance, if two of your colleagues are critics, while others have no prior experience in this field, then the answers by these two friends are given more importance as compared to the other people.\n', '\n', 'The result is calculated as\n', '\n', '*[(50.23) + (40.23) + (50.18) + (40.18) + (4*0.18)] = 4.41.*']",extens averag method model assign differ weight defin import model predict instanc two colleagu critic other prior experi field answer two friend given import compar peopl result calcul 50 23 40 23 50 18 40 18 4 0 18 4 41
67,['![Imgur](https://i.imgur.com/J9drqs1.png)'],imgur http imgur com j9drqs1 png
68,['**Code in python**'],code python
69,['**Advanced Ensemble techniques**\n'],advanc ensembl techniqu
70,['**Bagging**'],bag
71,"['**Bagging** is very common in competitions. I don’t think I have ever seen anybody win without using it. But, in order for this to work, your data must have *variance*, otherwise you’re just adding levels after levels of additional iterations with **little benefit** to your score and a big headache for those maintaining your modeling pipeline in production. Even when it does improve things, you have to asked yourself if its worth all that extra work…']",bag common competit dont think ever seen anybodi win without use order work data must varianc otherwis your ad level level addit iter littl benefit score big headach maintain model pipelin product even improv thing ask worth extra work
72,"['In simple terms, **bagging irons out variance from a data set** . If, after splitting your data into multiple chunks and training them, you find that your predictions are *different*, then your data has *variance*. Bagging can turn a bad thing into a competitive advantage. For more theory behind the magic, check out *Bootstrap Aggregating on Wikipedia.* Bagging was invented by *Leo Breiman* at the University of California. He is also one of the grandfathers of Boosting and Random Forests.']",simpl term bag iron varianc data set split data multipl chunk train find predict differ data varianc bag turn bad thing competit advantag theori behind magic check bootstrap aggreg wikipedia bag invent leo breiman univers california also one grandfath boost random forest
73,['**Stability and Accuracy**\n'],stabil accuraci
74,"['By saving each prediction set and averaging them together, you not only lower variance without affecting bias, but your accuracy may be **improved**! In essence, you are creating many slightly different models and ensembling them together; **this avoids over-fitting**, **stabilizes your predictions and increases your accuracy**. Mind you, this assumes your data has variance, if it doesn’t,**bagging won’t help.**']",save predict set averag togeth lower varianc without affect bia accuraci may improv essenc creat mani slightli differ model ensembl togeth avoid fit stabil predict increas accuraci mind assum data varianc doesnt bag wont help
75,"['Bagging is based on the *statistical method of bootstrapping*, Bagging actually refers to (Bootstrap Aggregators). Most any paper or post that references using bagging algorithms will also reference Leo Breiman who wrote a paper in 1996 called “*Bagging Predictors*”.']",bag base statist method bootstrap bag actual refer bootstrap aggreg paper post refer use bag algorithm also refer leo breiman wrote paper 1996 call bag predictor
76,"['1-we make subsets with replacement: that means every item may appears in different subsets.\n', '\n', '2-apply model for every subset of the sample.\n', '\n', '3-The models run in parallel and are independent of each other.\n', '\n', '4-predict x-text by using each model\n', '\n', '5-then aggregate their predictions (either by voting or by averaging) to form a final prediction.']",1 make subset replac mean everi item may appear differ subset 2 appli model everi subset sampl 3 model run parallel independ 4 predict x text use model 5 aggreg predict either vote averag form final predict
77,['![Imgur](https://i.imgur.com/eu95V9N.png)'],imgur http imgur com eu95v9n png
78,['**Bagging algorithms:**\n'],bag algorithm
79,"['\n', '* Bagging meta-estimator\n', '* Random forest']",bag meta estim random forest
80,['**Bagging meta-estimator**'],bag meta estim
81,"['**Bagging meta-estimator** is an ensembling algorithm that can be used for **both** classification (BaggingClassifier) and regression (BaggingRegressor) problems. It follows the typical bagging technique to make predictions. Following are the steps for the bagging meta-estimator algorithm:\n', '\n', '1-Random subsets are created from the original dataset (Bootstrapping).\n', '\n', '2-The subset of the dataset includes all features.\n', '\n', '3-A user-specified base estimator is fitted on each of these smaller sets.\n', '\n', '4-Predictions from each model are combined to get the final result.']",bag meta estim ensembl algorithm use classif baggingclassifi regress baggingregressor problem follow typic bag techniqu make predict follow step bag meta estim algorithm 1 random subset creat origin dataset bootstrap 2 subset dataset includ featur 3 user specifi base estim fit smaller set 4 predict model combin get final result
82,['**Code in python**'],code python
83,"['where :\n', '\n', '**base_estimator:**\n', 'It defines the base estimator to fit on random subsets of the dataset. When nothing is specified, the base estimator is a decision tree.\n', '\n', '**n_estimators:**\n', 'It is the number of base estimators to be created. The number of estimators should be carefully tuned as a large number would take a very long time to run, while a very small number might not provide the best results.\n', '\n', '**max_samples:**\n', 'This parameter controls the size of the subsets. It is the maximum number of samples to train each base estimator.\n', '\n', '**max_features:**\n', 'Controls the number of features to draw from the whole dataset. It defines the maximum number of features required to train each base estimator.\n', '\n', '**n_jobs:**\n', 'The number of jobs to run in parallel. Set this value equal to the cores in your system. If -1, the number of jobs is set to the number of cores.\n', '\n', '**random_state:**\n', 'It specifies the method of random split. When random state value is same for two models, the random selection is same for both models. This parameter is useful when you want to compare different models.']",base estim defin base estim fit random subset dataset noth specifi base estim decis tree n estim number base estim creat number estim care tune larg number would take long time run small number might provid best result max sampl paramet control size subset maximum number sampl train base estim max featur control number featur draw whole dataset defin maximum number featur requir train base estim n job number job run parallel set valu equal core system 1 number job set number core random state specifi method random split random state valu two model random select model paramet use want compar differ model
84,['**Random Forest**\n'],random forest
85,"['**Random Forest** is another ensemble machine learning algorithm that follows the bagging technique. It is an extension of the bagging estimator algorithm. The base estimators in random forest are decision trees. Unlike bagging meta estimator, random forest **randomly** selects a set of features which are used to decide the best split at each node of the decision tree.']",random forest anoth ensembl machin learn algorithm follow bag techniqu extens bag estim algorithm base estim random forest decis tree unlik bag meta estim random forest randomli select set featur use decid best split node decis tree
86,"['step-by-step, this is what a random forest model does:\n', '\n', '1-Random subsets are created from the original dataset (bootstrapping).\n', '\n', '2-At each node in the decision tree, only a random set of features are considered to decide the best split.\n', '\n', '3-A decision tree model is fitted on each of the subsets. The final prediction is calculated by averaging the predictions from all decision trees.\n', '\n', '**Note:** The decision trees in random forest can be built on a subset of data and features. Particularly, the sklearn model of random forest uses all features for decision tree and a subset of features are randomly selected for splitting at each node.\n', '\n', '**To sum up, Random forest randomly selects data points and features, and builds multiple trees (Forest) .**']",step step random forest model 1 random subset creat origin dataset bootstrap 2 node decis tree random set featur consid decid best split 3 decis tree model fit subset final predict calcul averag predict decis tree note decis tree random forest built subset data featur particularli sklearn model random forest use featur decis tree subset featur randomli select split node sum random forest randomli select data point featur build multipl tree forest
87,['**Code in python**'],code python
88,"['You can see feature importance by using **model.featureimportances** in random forest.\n', '\n']",see featur import use model featureimport random forest
89,['**Sample code for regression problem:**\n'],sampl code regress problem
90,"['Parameters :\n', '\n', '**n_estimators:**\n', 'It defines the number of decision trees to be created in a random forest. Generally, a higher number makes the predictions stronger and more stable, but a very large number can result in higher training time.\n', '\n', '**criterion:**\n', 'It defines the function that is to be used for splitting. The function measures the quality of a split for each feature and chooses the best split.\n', '\n', '**max_features :**\n', 'It defines the maximum number of features allowed for the split in each decision tree. Increasing max features usually improve performance but a very high number can decrease the diversity of each tree.\n', '\n', '**max_depth:**\n', 'Random forest has multiple decision trees. This parameter defines the maximum depth of the trees. min_samples_split: Used to define the minimum number of samples required in a leaf node before a split is attempted. If the number of samples is less than the required number, the node is not split.\n', '\n', '**min_samples_leaf:**\n', 'This defines the minimum number of samples required to be at a leaf node. Smaller leaf size makes the model more prone to capturing noise in train data.\n', '\n', '**max_leaf_nodes:**\n', 'This parameter specifies the maximum number of leaf nodes for each tree. The tree stops splitting when the number of leaf nodes becomes equal to the max leaf node.\n', '\n', '**n_jobs:**\n', 'This indicates the number of jobs to run in parallel. S']",paramet n estim defin number decis tree creat random forest gener higher number make predict stronger stabl larg number result higher train time criterion defin function use split function measur qualiti split featur choos best split max featur defin maximum number featur allow split decis tree increas max featur usual improv perform high number decreas diver tree max depth random forest multipl decis tree paramet defin maximum depth tree min sampl split use defin minimum number sampl requir leaf node split attempt number sampl le requir number node split min sampl leaf defin minimum number sampl requir leaf node smaller leaf size make model prone captur nois train data max leaf node paramet specifi maximum number leaf node tree tree stop split number leaf node becom equal max leaf node n job indic number job run parallel
91,['**Boosting**\n'],boost
92,"['The term ‘Boosting’ refers to a family of algorithms which **converts weak learner to strong learners**. Boosting is an ensemble method for improving the model predictions of any given learning algorithm. The idea of boosting **is to train weak learners sequentially, each trying to correct its predecessor**.\n', '\n', 'Boosting is all about “*teamwork*”. Each model that runs, dictates what features the next model will focus on.']",term boost refer famili algorithm convert weak learner strong learner boost ensembl method improv model predict given learn algorithm idea boost train weak learner sequenti tri correct predecessor boost teamwork model run dictat featur next model focu
93,['**AdaBoost**\n'],adaboost
94,"['**Adaptive boosting or AdaBoost** is one of the simplest boosting algorithms. Usually, decision trees are used for modelling. Multiple sequential models are created, each correcting the errors from the last model. AdaBoost assigns weights to the observations which are incorrectly predicted and the subsequent model works to predict these values correctly.\n', '\n', '**steps:**\n', '\n', '1-all observations in the dataset are given equal weights.\n', '\n', '2-A model is built on a subset of data.\n', '\n', '3-Using this model, predictions are made on the whole dataset.\n', '\n', '4-Errors are calculated by comparing the predictions and actual values.\n', '\n', '5-While creating the next model, higher weights are given to the data points which were predicted incorrectly.\n', '\n', '6-Weights can be determined using the error value. For instance, higher the error more is the weight assigned to the observation.\n', '\n', '7-This process is repeated until the error function does not change, or the maximum limit of the number of estimators is reached.']",adapt boost adaboost one simplest boost algorithm usual decis tree use model multipl sequenti model creat correct error last model adaboost assign weight observ incorrectli predict subsequ model work predict valu correctli step 1 observ dataset given equal weight 2 model built subset data 3 use model predict made whole dataset 4 error calcul compar predict actual valu 5 creat next model higher weight given data point predict incorrectli 6 weight determin use error valu instanc higher error weight assign observ 7 process repeat error function chang maximum limit number estim reach
95,['**Code in python**'],code python
96,"['**Parameters**\n', '\n', '**base_estimators:**\n', 'It helps to specify the type of base estimator, that is, the machine learning algorithm to be used as base learner.\n', '\n', '**n_estimators:**\n', 'It defines the number of base estimators.\n', 'The default value is 10, but you should keep a higher value to get better performance.\n', '\n', '**learning_rate:**\n', 'This parameter controls the contribution of the estimators in the final combination.\n', 'There is a trade-off between learning_rate and n_estimators.\n', '\n', '**max_depth:**\n', 'Defines the maximum depth of the individual estimator.\n', 'Tune this parameter for best performance.\n', '\n', '**n_jobs:**\n', 'Specifies the number of processors it is allowed to use.\n', 'Set value to -1 for maximum processors allowed.\n', '\n', '**random_state :**\n', 'An integer value to specify the random data split.\n', 'A definite value of random_state will always produce same results if given with same parameters and training data.']",paramet base estim help specifi type base estim machin learn algorithm use base learner n estim defin number base estim default valu 10 keep higher valu get better perform learn rate paramet control contribut estim final combin trade learn rate n estim max depth defin maximum depth individu estim tune paramet best perform n job specifi number processor allow use set valu 1 maximum processor allow random state integ valu specifi random data split definit valu random state alway produc result given paramet train data
