cluster-assignment,text-data
0,correl now that we have dealt with the categor variabl and the outlier let s continu with the eda one way to tri and understand the data is by look for correl between the featur and the target we can calcul the pearson correl coeffici between everi variabl and the target use the corr datafram method the correl coeffici is not the greatest method to repres relev of a featur but it doe give u an idea of possibl relationship within the data some gener interpret of the absolut valu of the correl coeffic are 00 19 “veri weak” 20 39 “weak” 40 59 “moderate” 60 79 “strong” 80 1 0 “veri strong”
0,let s take a look at some of more signific correl the day birth is the most posit correl except for target becaus the correl of a variabl with itself is alway 1 look at the document day birth is the age in day of the client at the time of the loan in neg day for whatev reason the correl is posit but the valu of thi featur is actual neg mean that a the client get older they are le like to default on their loan ie the target 0 that s a littl confus so we will take the absolut valu of the featur and then the correl will be neg effect of age on repay
0,a the client get older there is a neg linear relationship with the target mean that a client get older they tend to repay their loan on time more often let s start look at thi variabl first we can make a histogram of the age we will put the x axi in year to make the plot a littl more understand
0,by itself the distribut of age doe not tell u much other than that there are no outlier a all the age are reason to visual the effect of the age on the target we will next make a kernel densiti estim plot kde color by the valu of the target a kernel densiti estim plot show the distribut of a singl variabl and can be thought of a a smooth histogram it is creat by comput a kernel usual a gaussian at each data point and then averag all the individu kernel to develop a singl smooth curv we will use the seaborn kdeplot for thi graph
0,the target 1 curv skew toward the younger end of the rang although thi is not a signific correl 0 07 correl coeffici thi variabl is like go to be use in a machin learn model becaus it doe affect the target let s look at thi relationship in anoth way averag failur to repay loan by age bracket to make thi graph first we cut the age categori into bin of 5 year each then for each bin we calcul the averag valu of the target which tell u the ratio of loan that were not repaid in each age categori
0,there is a clear trend younger applic are more like to not repay the loan the rate of failur to repay is abov 10 for the youngest three age group and beolow 5 for the oldest age group thi is inform that could be directli use by the bank becaus younger client are le like to repay the loan mayb they should be provid with more guidanc or financi plan tip thi doe not mean the bank should discrimin against younger client but it would be smart to take precautionari measur to help younger client pay on time exterior sourc the 3 variabl with the strongest neg correl with the target are ext sourc 1 ext sourc 2 and ext sourc 3 accord to the document these featur repres a normal score from extern data sourc i m not sure what thi exactli mean but it may be a cumul sort of credit rate made use numer sourc of data let s take a look at these variabl first we can show the correl of the ext sourc featur with the target and with each other
0,all three ext sourc featureshav neg correl with the target indic that a the valu of the ext sourc increas the client is more like to repay the loan we can also see that day birth is posit correl with ext sourc 1 indic that mayb one of the factor in thi score is the client age next we can look at the distribut of each of these featur color by the valu of the target thi will let u visual the effect of thi variabl on the target
0,ext sourc 3 display the greatest differ between the valu of the target we can clearli see that thi featur ha some relationship to the likelihood of an applic to repay a loan the relationship is not veri strong in fact they are all consid veri weak but these variabl will still be use for a machin learn model to predict whether or not an applic will repay a loan on time pair plot a a final exploratori plot we can make a pair plot of the ext sourc variabl and the day birth variabl the pair plot is a great explor tool becaus it let u see relationship between multipl pair of variabl a well a distribut of singl variabl here we are use the seaborn visual librari and the pairgrid function to creat a pair plot with scatterplot on the upper triangl histogram on the diagon and 2d kernel densiti plot and correl coeffici on the lower triangl if you don t understand thi code that s all right plot in python can be overli complex and for anyth beyond the simplest graph i usual find an exist implement and adapt the code don t repeat yourself
0,in thi plot the red indic loan that were not repaid and the blue are loan that are paid we can see the differ relationship within the data there doe appear to be a moder posit linear relationship between the ext sourc 1 and the day birth or equival year birth indic that thi featur may take into account the age of the client
0,in thi plot the red indic loan that were not repaid and the blue are loan that are paid we can see the differ relationship within the data there doe appear to be a moder posit linear relationship between the ext sourc 1 and the day birth or equival year birth indic that thi featur may take into account the age of the client featur engin kaggl competit are won by featur engin those win are those who can creat the most use featur out of the data thi is true for the most part a the win model at least for structur data all tend to be variant on gradient boost thi repres one of the pattern in machin learn featur engin ha a greater return on invest than model build and hyperparamet tune thi is a great articl on the subject a andrew ng is fond of say appli machin learn is basic featur engin while choos the right model and optim set are import the model can onli learn from the data it is given make sure thi data is a relev to the task a possibl is the job of the data scientist and mayb some autom tool to help u out featur engin refer to a geneal process and can involv both featur construct ad new featur from the exist data and featur select choos onli the most import featur or other method of dimension reduct there are mani techniqu we can use to both creat featur and select featur we will do a lot of featur engin when we start use the other data sourc but in thi notebook we will tri onli two simpl featur construct method polynomi featur domain knowledg featur polynomi featur one simpl featur construct method is call polynomi featur in thi method we make featur that are power of exist featur a well a interact term between exist featur for exampl we can creat variabl ext sourc 1 2 and ext sourc 2 2 and also variabl such a ext sourc 1 x ext sourc 2 ext sourc 1 x ext sourc 2 2 ext sourc 1 2 x ext sourc 2 2 and so on these featur that are a combin of multipl individu variabl are call interact term becaus they captur the interact between variabl in other word while two variabl by themselv may not have a strong influenc on the target combin them togeth into a singl interact variabl might show a relationship with the target interact term are commonli use in statist model to captur the effect of multipl variabl but i do not see them use a often in machin learn nonetheless we can tri out a few to see if they might help our model to predict whether or not a client will repay a loan jake vanderpla write about polynomi featur in hi excel book python for data scienc for those who want more inform in the follow code we creat polynomi featur use the ext sourc variabl and the day birth variabl scikit learn ha a use class call polynomialfeatur that creat the polynomi and the interact term up to a specifi degre we can use a degre of 3 to see the result when we are creat polynomi featur we want to avoid use too high of a degre both becaus the number of featur scale exponenti with the degre and becaus we can run into problem with overfit
0,thi creat a consider number of new featur to get the name we have to use the polynomi featur get featur name method
0,there are 35 featur with individu featur rais to power up to degre 3 and interact term now we can see whether ani of these new featur are correl with the target
0,sever of the new variabl have a greater in term of absolut magnitud correl with the target than the origin featur when we build machin learn model we can tri with and without these featur to determin if they actual help the model learn we will add these featur to a copi of the train and test data and then evalu model with and without the featur mani time in machin learn the onli way to know if an approach will work is to tri it out
0,domain knowledg featur mayb it s not entir correct to call thi domain knowledg becaus i m not a credit expert but perhap we could call thi attempt at appli limit financi knowledg in thi frame of mind we can make a coupl featur that attempt to captur what we think may be import for tell whether a client will default on a loan here i m go to use five featur that were inspir by thi script by aguiar credit incom percent the percentag of the credit amount rel to a client s incom annuiti incom percent the percentag of the loan annuiti rel to a client s incom credit term the length of the payment in month sinc the annuiti is the monthli amount due day employ percent the percentag of the day employ rel to the client s age again thank to aguiar and hi great script for explor these featur
0,visual new variabl we should explor these domain knowledg variabl visual in a graph for all of these we will make the same kde plot color by the valu of the target
0,it s hard to say ahead of time if these new featur will be use the onli way to tell for sure is to tri them out baselin for a naiv baselin we could guess the same valu for all exampl on the test set we are ask to predict the probabl of not repay the loan so if we are entir unsur we would guess 0 5 for all observ on the test set thi will get u a reciev oper characterist area under the curv auc roc of 0 5 in the competit random guess on a classif task will score a 0 5 sinc we alreadi know what score we are go to get we don t realli need to make a naiv baselin guess let s use a slightli more sophist model for our actual baselin logist regress logist regress implement here i will focu on implement the model rather than explain the detail but for those who want to learn more about the theori of machin learn algorithm i recommend both an introduct to statist learn and hand on machin learn with scikit learn and tensorflow both of these book present the theori and also the code need to make the model in r and python respect they both teach with the mindset that the best way to learn is by do and they are veri effect to get a baselin we will use all of the featur after encod the categor variabl we will preprocess the data by fill in the miss valu imput and normal the rang of the featur featur scale the follow code perform both of these preprocess step
0,we will use logisticregress from scikit learn for our first model the onli chang we will make from the default model set is to lower the regular paramet c which control the amount of overfit a lower valu should decreas overfit thi will get u slightli better result than the default logisticregress but it still will set a low bar for ani futur model here we use the familiar scikit learn model syntax we first creat the model then we train the model use fit and then we make predict on the test data use predict proba rememb that we want probabl and not a 0 or 1
0,now that the model ha been train we can use it to make predict we want to predict the probabl of not pay a loan so we use the model predict proba method thi return an m x 2 array where m is the number of observ the first column is the probabl of the target be 0 and the second column is the probabl of the target be 1 so for a singl row the two column must sum to 1 we want the probabl the loan is not repaid so we will select the second column the follow code make the predict and select the correct column
0,the predict must be in the format shown in the sampl submiss csv file where there are onli two column sk id curr and target we will creat a datafram in thi format from the test set and the predict call submit
0,the predict repres a probabl between 0 and 1 that the loan will not be repaid if we were use these predict to classifi applic we could set a probabl threshold for determin that a loan is riski
0,the submiss ha now been save to the virtual environ in which our notebook is run to access the submiss at the end of the notebook we will hit the blue commit run button at the upper right of the kernel thi run the entir notebook and then let u download ani file that are creat dure the run onc we run the notebook the file creat are avail in the version tab under the output sub tab from here the submiss file can be submit to the competit or download sinc there are sever model in thi notebook there will be multipl output file the logist regress baselin should score around 0 671 when submit improv model random forest to tri and beat the poor perform of our baselin we can updat the algorithm let s tri use a random forest on the same train data to see how that affect perform the random forest is a much more power model especi when we use hundr of tree we will use 100 tree in the random forest
0,these predict will also be avail when we run the entir notebook thi model should score around 0 678 when submit make predict use engin featur the onli way to see if the polynomi featur and domain knowledg improv the model is to train a test a model on these featur we can then compar the submiss perform to that for the model without these featur to gaug the effect of our featur engin
0,thi model score 0 678 when submit to the competit exactli the same a that without the engin featur given these result it doe not appear that our featur construct help in thi case test domain featur now we can test the domain featur we made by hand
0,thi score 0 679 when submit which probabl show that the engin featur do not help in thi model howev they do help in the gradient boost model at the end of the notebook in later notebook we will do more featur engin by use the inform from the other data sourc from experi thi will definit help our model model interpret featur import a a simpl method to see which variabl are the most relev we can look at the featur import of the random forest given the correl we saw in the exploratori data analysi we should expect that the most import featur are the ext sourc and the day birth we may use these featur import a a method of dimension reduct in futur work
0,a expect the most import featur are those deal with ext sourc and day birth we see that there are onli a hand of featur with a signific import to the model which suggest we may be abl to drop mani of the featur without a decreas in perform and we may even see an increas in perform featur import are not the most sophist method to interpret a model or perform dimension reduct but they let u start to understand what factor our model take into account when it make predict
0,we see that all four of our hand engin featur made it into the top 15 most import thi should give u confid that our domain knowledg wa at least partial on track conclus in thi notebook we saw how to get start with a kaggl machin learn competit we first made sure to understand the data our task and the metric by which our submiss will be judg then we perform a fairli simpl eda to tri and identifi relationship trend or anomali that may help our model along the way we perform necessari preprocess step such a encod categor variabl imput miss valu and scale featur to a rang then we construct new featur out of the exist data to see if do so could help our model onc the data explor data prepar and featur engin wa complet we implement a baselin model upon which we hope to improv then we built a second slightli more complic model to beat our first score we also carri out an experi to determin the effect of ad the engin variabl we follow the gener outlin of a machin learn project 1 understand the problem and the data 2 data clean and format thi wa mostli done for u 3 exploratori data analysi 4 baselin model 5 improv model 6 model interpret just a littl machin learn competit do differ slightli from typic data scienc problem in that we are concern onli with achiev the best perform on a singl metric and do not care about the interpret howev by attempt to understand how our model make decis we can tri to improv them or examin the mistak in order to correct the error in futur notebook we will look at incorpor more sourc of data build more complex model by follow the code of other and improv our score i hope thi notebook wa abl to get you up and run in thi machin learn competit and that you are now readi to go out on your own with help from the commun and start work on some great problem run the notebook now that we are at the end of the notebook you can hit the blue commit run button to execut all the code at onc after the run is complet thi should take about 10 minut you can then access the file that were creat by go to the version tab and then the output sub tab the submiss file can be directli submit to the competit from thi tab or they can be download to a local machin and save the final part is to share the share the notebook go to the set tab and chang the visibl to public thi allow the entir world to see your work follow up notebook for those look to keep work on thi problem i have a seri of follow up notebook manual featur engin part one manual featur engin part two introduct to autom featur engin advanc autom featur engin featur select intro to model tune grid and random search a alway i welcom feedback and construct critic i write for toward data scienc at and can be reach on twitter at will just for fun light gradient boost machin now if you want thi part is entir option we can step off the deep end and use a real machin learn model the gradient boost machin use the lightgbm librari the gradient boost machin is current the lead model for learn on structur dataset especi on kaggl and we will probabl need some form of thi model to do well in the competit don t worri even if thi code look intimid it s just a seri of small step that build up to a complet model i ad thi code just to show what may be in store for thi project and becaus it get u a slightli better score on the leaderboard in futur notebook we will see how to work with more advanc model which mostli mean adapt exist code to make it work better featur engin and featur select see you in the next notebook
0,thi submiss should score about 0 735 on the leaderboard we will certainli best that in futur work
0,again we see tha some of our featur made it into the most import go forward we will need to think about whatoth domain knowledg featur may be use for thi problem or we should consult someon who know more about the financi industri
0,thi model score about 0 754 when submit to the public leaderboard indic that the domain featur do improv the perform featur engin is go to be a critic part of thi competit a it is for all machin learn problem
